rad,str,cp,char
1,5,184006,𬻆
1,5,184007,𬻇
1,5,184008,𬻈
1,5,184009,𬻉
1,5,196619,𰀋
1,5,201553,𱍑
1,6,20003,丣
1,6,20004,两
1,6,20005,严
1,6,20029,丽
1,6,40918,鿖
1,6,131105,𠀡
1,6,131106,𠀢
1,6,131107,𠀣
1,6,131108,𠀤
1,6,131110,𠀦
1,6,131111,𠀧
1,6,131112,𠀨
1,6,131114,𠀪
1,6,131115,𠀫
1,6,177986,𫝂
1,6,178214,𫠦
1,6,178215,𫠧
1,6,178216,𫠨
1,6,178217,𫠩
1,6,184010,𬻊
1,6,184011,𬻋
1,6,184012,𬻌
1,6,184013,𬻍
1,6,184014,𬻎
1,6,184015,𬻏
1,6,184016,𬻐
1,6,184017,𬻑
1,6,184018,𬻒
1,6,194560,丽
1,6,196620,𰀌
1,6,201554,𱍒
1,7,20006,並
1,7,20007,丧
1,7,64112,並
1,7,131116,𠀬
1,7,131117,𠀭
1,7,131118,𠀮
1,7,131120,𠀰
1,7,131121,𠀱
1,7,131122,𠀲
1,7,131123,𠀳
1,7,131124,𠀴
1,7,173827,𪜃
1,7,178218,𫠪
1,7,178219,𫠫
1,7,178220,𫠬
1,7,178221,𫠭
1,7,184019,𬻓
1,7,184020,𬻔
1,7,184021,𬻕
1,7,184022,𬻖
1,7,184023,𬻗
1,7,184024,𬻘
1,7,196621,𰀍
1,7,201555,𱍓
1,7,201556,𱍔
1,7,201557,𱍕
1,7,201558,𱍖
1,7,201559,𱍗
1,8,40919,鿗
1,8,131125,𠀵
1,8,131126,𠀶
1,8,131128,𠀸
1,8,131130,𠀺
1,8,131131,𠀻
1,8,173828,𪜄
1,8,178222,𫠮
1,8,184025,𬻙
1,8,184026,𬻚
1,8,184027,𬻛
1,8,184028,𬻜
1,8,184029,𬻝
1,8,196622,𰀎
1,8,196623,𰀏
1,8,196624,𰀐
1,8,196625,𰀑
1,8,205747,𲎳
1,9,131133,𠀽
1,9,131134,𠀾
1,9,131135,𠀿
1,9,131136,𠁀
1,9,133410,𠤢
1,9,173829,𪜅
1,9,178223,𫠯
1,9,178224,𫠰
1,9,178225,𫠱
1,9,178226,𫠲
1,9,184030,𬻞
1,9,184031,𬻟
1,9,184032,𬻠
1,9,196626,𰀒
1,9,196627,𰀓
1,9,196628,𰀔
1,9,196629,𰀕
1,9,201560,𱍘
1,9,201561,𱍙
1,9,201562,𱍚
1,9,201563,𱍛
1,9,201564,𱍜
1,9,201565,𱍝
1,9,205748,𲎴
1,10,131137,𠁁
1,10,131138,𠁂
1,10,131139,𠁃
1,10,131140,𠁄
1,10,131141,𠁅
1,10,173830,𪜆
1,10,178227,𫠳
1,10,178228,𫠴
1,10,178229,𫠵
1,10,184033,𬻡
1,10,184034,𬻢
1,10,184035,𬻣
1,10,184036,𬻤
1,10,184037,𬻥
1,10,201566,𱍞
1,10,201567,𱍟
1,10,205749,𲎵
1,10,205750,𲎶
1,11,131142,𠁆
1,11,131143,𠁇
1,11,131144,𠁈
1,11,131146,𠁊
1,11,131147,𠁋
1,11,178230,𫠶
1,11,184038,𬻦
1,11,184039,𬻧
1,11,184040,𬻨
1,11,196630,𰀖
1,11,196631,𰀗
1,11,196632,𰀘
1,11,201568,𱍠
1,11,201569,𱍡
1,11,205751,𲎷
1,12,131148,𠁌
1,12,131149,𠁍
1,12,178231,𫠷
1,12,178232,𫠸
1,12,178233,𫠹
1,12,178234,𫠺
1,12,178235,𫠻
1,12,178236,𫠼
1,12,184041,𬻩
1,12,184042,𬻪
1,12,184043,𬻫
1,12,184044,𬻬
1,12,184045,𬻭
1,12,184046,𬻮
1,12,196633,𰀙
1,12,196634,𰀚
1,12,201570,𱍢
1,12,201571,𱍣
1,12,201572,𱍤
1,12,205752,𲎸
1,13,131150,𠁎
1,13,131151,𠁏
1,13,131152,𠁐
1,13,131153,𠁑
1,13,131154,𠁒
1,13,177987,𫝃
1,13,178237,𫠽
1,13,184047,𬻯
